Player Ali:
(coordinates recorded in cm precision)
  00:36:952: (x: 475, y: -245)
  00:36:983: (x: 475, y: -245)
  00:37:269: (x: 415, y: -255)
  00:37:301: (x: 415, y: -255)
  00:37:578: (x: 474, y: -146)
  00:37:609: (x: 474, y: -146)
  00:37:903: (x: 474, y: -146)
  00:37:924: (x: 474, y: -146)
  00:38:212: (x: 571, y: -93)
  00:38:231: (x: 571, y: -93)
  00:38:522: (x: 504, y: -299)
  00:38:545: (x: 504, y: -299)
  00:38:832: (x: 504, y: -299)
  00:38:856: (x: 504, y: -299)
  00:39:148: (x: 455, y: -228)
  00:39:162: (x: 455, y: -228)
  00:39:462: (x: 416, y: -161)
  00:39:470: (x: 416, y: -161)
  00:39:772: (x: 469, y: -187)
  00:39:777: (x: 469, y: -187)
  00:40:091: (x: 469, y: -187)
  00:40:352: (x: 421, y: -340)
  00:40:398: (x: 421, y: -340)
  00:40:664: (x: 417, y: -247)
  00:40:710: (x: 417, y: -247)
  00:40:984: (x: 417, y: -247)
  00:41:018: (x: 417, y: -247)
  00:41:302: (x: 407, y: -223)
  00:41:329: (x: 407, y: -223)
  00:41:611: (x: 451, y: -160)
  00:41:650: (x: 451, y: -160)
  00:41:922: (x: 451, y: -160)
  00:41:962: (x: 451, y: -160)
  00:42:243: (x: 476, y: -155)
  00:42:269: (x: 476, y: -155)
  00:42:562: (x: 400, y: -286)
  00:42:588: (x: 400, y: -286)
  00:42:877: (x: 400, y: -286)
  00:42:902: (x: 488, y: -323)
  00:43:188: (x: 488, y: -323)
  00:43:218: (x: 488, y: -323)
  00:43:503: (x: 508, y: -368)
  00:43:523: (x: 508, y: -368)
  00:43:812: (x: 480, y: -294)
  00:43:835: (x: 480, y: -294)
  00:44:125: (x: 480, y: -294)
  00:44:156: (x: 480, y: -294)
  00:44:437: (x: 415, y: -222)
  00:44:470: (x: 415, y: -222)
  00:44:744: (x: 447, y: -278)
  00:44:775: (x: 447, y: -278)
  00:45:067: (x: 447, y: -278)
  00:45:082: (x: 447, y: -278)
  00:45:377: (x: 381, y: -56)
